emoji,hexcode,unicodeVersion,label_en,label_es,label_pt,tags_en,tags_es,tags_pt,group_en,group_es,group_pt,subgroup_en,subgroup_es,subgroup_pt,whatsapp_ios,whatsapp_android,whatsapp_note
🧎🏼‍♂️‍➡️,1F9CE-1F3FC-200D-2642-FE0F-200D-27A1-FE0F,15.1,"man kneeling: medium-light skin tone, facing right",hombre de rodillas: tono de piel claro medio y hacia la derecha,homem ajoelhando: pele morena clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧎🏽‍♂️‍➡️,1F9CE-1F3FD-200D-2642-FE0F-200D-27A1-FE0F,15.1,"man kneeling: medium skin tone, facing right",hombre de rodillas: tono de piel medio y hacia la derecha,homem ajoelhando: pele morena e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧎🏾‍♂️‍➡️,1F9CE-1F3FE-200D-2642-FE0F-200D-27A1-FE0F,15.1,"man kneeling: medium-dark skin tone, facing right",hombre de rodillas: tono de piel oscuro medio y hacia la derecha,homem ajoelhando: pele morena escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧎🏿‍♂️‍➡️,1F9CE-1F3FF-200D-2642-FE0F-200D-27A1-FE0F,15.1,"man kneeling: dark skin tone, facing right",hombre de rodillas: tono de piel oscuro y hacia la derecha,homem ajoelhando: pele escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑‍🦯,1F9D1-200D-1F9AF,12.1,person with white cane,persona con bastón,pessoa com bengala para cego,accessibility|blind|cane|person|probing|white,accesibilidad|ciego|invidente,acessibilidade|cego,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏻‍🦯,1F9D1-1F3FB-200D-1F9AF,12.1,person with white cane: light skin tone,persona con bastón: tono de piel claro,pessoa com bengala para cego: pele clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏼‍🦯,1F9D1-1F3FC-200D-1F9AF,12.1,person with white cane: medium-light skin tone,persona con bastón: tono de piel claro medio,pessoa com bengala para cego: pele morena clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏽‍🦯,1F9D1-1F3FD-200D-1F9AF,12.1,person with white cane: medium skin tone,persona con bastón: tono de piel medio,pessoa com bengala para cego: pele morena,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏾‍🦯,1F9D1-1F3FE-200D-1F9AF,12.1,person with white cane: medium-dark skin tone,persona con bastón: tono de piel oscuro medio,pessoa com bengala para cego: pele morena escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏿‍🦯,1F9D1-1F3FF-200D-1F9AF,12.1,person with white cane: dark skin tone,persona con bastón: tono de piel oscuro,pessoa com bengala para cego: pele escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
