emoji,hexcode,unicodeVersion,label_en,label_es,label_pt,tags_en,tags_es,tags_pt,group_en,group_es,group_pt,subgroup_en,subgroup_es,subgroup_pt,whatsapp_ios,whatsapp_android,whatsapp_note
🇦,1F1E6,0,regional indicator A,indicador regional A,indicador regional A,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇧,1F1E7,0,regional indicator B,indicador regional B,indicador regional B,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇨,1F1E8,0,regional indicator C,indicador regional C,indicador regional C,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇩,1F1E9,0,regional indicator D,indicador regional D,indicador regional D,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇪,1F1EA,0,regional indicator E,indicador regional E,indicador regional E,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇫,1F1EB,0,regional indicator F,indicador regional F,indicador regional F,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇬,1F1EC,0,regional indicator G,indicador regional G,indicador regional G,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇭,1F1ED,0,regional indicator H,indicador regional H,indicador regional H,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇮,1F1EE,0,regional indicator I,indicador regional I,indicador regional I,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇯,1F1EF,0,regional indicator J,indicador regional J,indicador regional J,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇰,1F1F0,0,regional indicator K,indicador regional K,indicador regional K,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇱,1F1F1,0,regional indicator L,indicador regional L,indicador regional L,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇲,1F1F2,0,regional indicator M,indicador regional M,indicador regional M,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇳,1F1F3,0,regional indicator N,indicador regional N,indicador regional N,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇴,1F1F4,0,regional indicator O,indicador regional O,indicador regional O,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇵,1F1F5,0,regional indicator P,indicador regional P,indicador regional P,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇶,1F1F6,0,regional indicator Q,indicador regional Q,indicador regional Q,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇷,1F1F7,0,regional indicator R,indicador regional R,indicador regional R,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇸,1F1F8,0,regional indicator S,indicador regional S,indicador regional S,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇹,1F1F9,0,regional indicator T,indicador regional T,indicador regional T,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇺,1F1FA,0,regional indicator U,indicador regional U,indicador regional U,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇻,1F1FB,0,regional indicator V,indicador regional V,indicador regional V,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇼,1F1FC,0,regional indicator W,indicador regional W,indicador regional W,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇽,1F1FD,0,regional indicator X,indicador regional X,indicador regional X,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇾,1F1FE,0,regional indicator Y,indicador regional Y,indicador regional Y,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
🇿,1F1FF,0,regional indicator Z,indicador regional Z,indicador regional Z,,,,,,,,,,true,true,Widely supported in WhatsApp on modern iOS/Android.
😀,1F600,1,grinning face,cara sonriendo,rosto risonho,cheerful|cheery|face|grin|grinning|happy|laugh|nice|smile|smiling|teeth,cara|divertido|feliz|sonrisa,engraçado|feliz|lol|rindo|risada|riso|rosto|sorridente,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😃,1F603,0.6,grinning face with big eyes,cara sonriendo con ojos grandes,rosto risonho com olhos bem abertos,awesome|big|eyes|face|grin|grinning|happy|mouth|open|smile|smiling|teeth|yay,cara|divertido|risa|sonriendo,aberto|boca|feliz|olhos arregalados|risada|risonho|rosto|rosto sorrindo com boca aberta|sorridente|sorrindo|sorriso,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😄,1F604,0.6,grinning face with smiling eyes,cara sonriendo con ojos sonrientes,rosto risonho com olhos sorridentes,eye|eyes|face|grin|grinning|happy|laugh|lol|mouth|open|smile|smiling,abierta|cara|ojo|sonrisa,aberta|boca|engraçado|feliz|haha|lol|risada|riso|risonho|sorridente|sorriso,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😁,1F601,0.6,beaming face with smiling eyes,cara radiante con ojos sonrientes,rosto contente com olhos sorridentes,beaming|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth,cara|ojo|risa|sonrisa,feliz|olho|olhos sorrindo|rindo|rosto|rosto rindo com olhos sorridentes|sorridente|sorrindo|sorriso|sorriso aberto,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😆,1F606,0.6,grinning squinting face,cara sonriendo con los ojos cerrados,rosto risonho com olhos semicerrados,closed|eyes|face|grinning|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting,abierta|boca|cara|risa,gargalhada|gargalhando|hahaha|kkk|olhos fechados|rir|rosto|sorriso com olhos fechados|sorriso estilo xd,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😅,1F605,0.6,grinning face with sweat,cara sonriendo con sudor frío,rosto risonho com gota de suor,cold|dejected|excited|face|grinning|mouth|nervous|open|smile|smiling|stress|stressed|sweat,cara|frío|risa|sudor,estressada|estressado|nervoso|rindo|rosto|sorriso com suor frio|sorriso mas com suor frio|suando frio|suor frio,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤣,1F923,3,rolling on the floor laughing,cara revolviéndose de la risa,rolando no chão de rir,crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|rolling|tear,cara|carcajada|ojos cerrados|risa,choro|chão|engraçada|feliz|gargalhada|haha|kkk|lágrimas|rindo|rir|risada|rolando,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😂,1F602,0.6,face with tears of joy,cara llorando de risa,rosto chorando de rir,crying|face|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|tear,cara|felicidad|lágrima|risa,alegria|chorando de rir|engraçada|engraçado|gargalhada|hahaha|kkk|lágrimas|lágrimas de alegria|rosto|rosto com lágrimas de alegria,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
🙂,1F642,1,slightly smiling face,cara sonriendo ligeramente,rosto levemente sorridente,face|happy|slightly|smile|smiling,cara|sonrisa,feliz|rosto|rosto sorrindo|sorriso|sorriso leve,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
🙃,1F643,1,upside-down face,cara al revés,rosto de cabeça para baixo,face|hehe|smile|upside-down,cara|revés,de cabeça para baixo|rosto invertido,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
🫠,1FAE0,14,melting face,cara derritiéndose,rosto derretendo,disappear|dissolve|embarrassed|face|haha|heat|hot|liquid|lol|melt|melting|sarcasm|sarcastic,calor|derretido|derretirse|desaparecer|fundirse|líquido,calor|derretendo|derreter|desaparecer|dissolver|envergonhada|haha|quente|sarcasmo|sarcástica|vergonha,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
😉,1F609,0.6,winking face,cara guiñando el ojo,rosto com olho piscando,face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winks,cara|guiño,flerte|piscada|rosto|rosto piscando,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😊,1F60A,0.6,smiling face with smiling eyes,cara feliz con ojos sonrientes,rosto sorridente com olhos sorridentes,blush|eye|eyes|face|glad|satisfied|smile|smiling,cara|ojo|rubor|sonrisa,alegre|encabulada|envergonhada|feliz|fofo|ruborizar|satisfeita|sim|sorriso|vergonha,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
😇,1F607,1,smiling face with halo,cara sonriendo con aureola,rosto sorridente com auréola,angel|angelic|angels|blessed|face|fairy|fairytale|fantasy|halo|happy|innocent|peaceful|smile|smiling|spirit|tale,cara|halo|sonrisa|ángel,anjinho|anjo|auréola|inocente|rosto|sorriso|sorriso com auréola,smileys & emotion,emoticonos y emoción,sorrisos e emoção,smiling,sonriendo,sorrindo,true,true,Widely supported in WhatsApp on modern iOS/Android.
🥰,1F970,11,smiling face with hearts,cara sonriendo con corazones,rosto sorridente com 3 corações,3|adore|crush|face|heart|hearts|ily|love|romance|smile|smiling|you,adorar|amor|corazones|enamorada|enamorado,amando|amei|amo|apaixonada|coração|crush|paixão|romance|rosto|sorridente|te amo,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
😍,1F60D,0.6,smiling face with heart-eyes,cara sonriendo con ojos de corazón,rosto sorridente com olhos de coração,143|bae|eye|face|feels|heart-eyes|hearts|ily|kisses|love|romance|romantic|smile|xoxo,amor|cara|corazón|sonrisa,amor|apaixonado|coração|olhar apaixonado|olhos|olhos de coração|paixão|romance|rosto,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤩,1F929,5,star-struck,cara sonriendo con estrellas,rosto com olhar maravilhado,excited|eyes|face|grinning|smile|star|starry-eyed|wow,cara|estrellas|sonrisa,estrela|gargalhando|olhos|rosto|super animada|super animado|super feliz|superanimada|superanimado|superfeliz,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
😘,1F618,0.6,face blowing a kiss,cara lanzando un beso,rosto mandando um beijo,adorbs|bae|blowing|face|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you,beso|cara,beijo|flerte|jogando beijos|mandando beijo|rosto|rosto jogando beijos,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
😗,1F617,1,kissing face,cara besando,rosto beijando,143|date|dating|face|flirt|ily|kiss|love|smooch|smooches|xoxo|you,beso|cara,beijo|rosto|rosto com beijo,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
☺️,263A,0.6,smiling face,cara sonriente,rosto sorridente,face|happy|outlined|relaxed|smile|smiling,cara|contorno|relajado|sonrisa,corada|corado|relaxado|rosto|rosto sorrindo|rosto sorrindo não preenchido|sorridente|sorriso,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
😚,1F61A,0.6,kissing face with closed eyes,cara besando con los ojos cerrados,rosto beijando com olhos fechados,143|bae|blush|closed|date|dating|eye|eyes|face|flirt|ily|kisses|kissing|smooches|xoxo,beso|cara|cerrado|ojo,beijando|beijando com os olhos fechados|beijinho|mandando beijo|olhos fechados|rosto,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
😙,1F619,1,kissing face with smiling eyes,cara besando con ojos sonrientes,rosto beijando com olhos sorridentes,143|closed|date|dating|eye|eyes|face|flirt|ily|kiss|kisses|kissing|love|night|smile|smiling,beso|cara|ojo|sonrisa,beijar e sorrir|beijinho|beijos|flerte|mandando beijo|olhos sorrindo|rosto|rosto beijando com um sorriso|sorriso,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
🥲,1F972,13,smiling face with tear,cara sonriente con lágrima,rosto sorridente com lágrima,face|glad|grateful|happy|joy|pain|proud|relieved|smile|smiley|smiling|tear|touched,agradecido|aliviado|emocionado|lágrima|orgulloso|sonrisa,aliviada|chorar|contente|emocionado|felicidade|feliz|grata|gratidão|lágrima|orgulhosa|rir|sorrir,smileys & emotion,emoticonos y emoción,sorrisos e emoção,affectionate,cariñoso,carinhoso,true,true,Widely supported in WhatsApp on modern iOS/Android.
😋,1F60B,0.6,face savoring food,cara saboreando comida,rosto saboreando comida,delicious|eat|face|food|full|hungry|savor|smile|smiling|tasty|um|yum|yummy,cara|delicioso|hambre|rico,apetitoso|comida gostosa|delicioso|gostoso|nham|rosto|rosto com sorriso|rosto saboreando|saboroso|sorriso,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with tongue,con lengua,com língua,true,true,Widely supported in WhatsApp on modern iOS/Android.
😛,1F61B,1,face with tongue,cara sacando la lengua,rosto mostrando a língua,awesome|cool|face|nice|party|stuck-out|sweet|tongue,cara|lengua,língua para fora|rosto|rosto com língua para fora,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with tongue,con lengua,com língua,true,true,Widely supported in WhatsApp on modern iOS/Android.
😜,1F61C,0.6,winking face with tongue,cara sacando la lengua y guiñando un ojo,rosto piscando e com língua para fora,crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck-out|tongue|wacky|weirdo|wink|winking|yolo,cara|guiño|lengua|ojo,brincadeira|língua para fora com piscadela|piscadela|piscando e mostrando a língua|provocação|rosto,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with tongue,con lengua,com língua,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤪,1F92A,5,zany face,cara de loco,rosto bizarro,crazy|eye|eyes|face|goofy|large|small|zany,grande|ojo|pequeño,cara de maluco|doida|doido|excêntrico|grande|louca|louco|olhar de maluco|olho|pequeno,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with tongue,con lengua,com língua,true,true,Widely supported in WhatsApp on modern iOS/Android.
😝,1F61D,0.6,squinting face with tongue,cara con ojos cerrados y lengua fuera,rosto com olhos semicerrados e língua para fora,closed|eye|eyes|face|gross|horrible|omg|squinting|stuck-out|taste|tongue|whatever|yolo,cara|lengua|ojo|sabor,eca|horrível|língua para fora|língua para fora com os olhos fechados|olhos fechados|rosto,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with tongue,con lengua,com língua,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤑,1F911,1,money-mouth face,cara con lengua de dinero,rosto com cifrões,face|money|money-mouth|mouth|paid,boca|cara|dinero,avarenta|caro|cifrão|dinheiro|ganância|grana|rica|riqueza,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with tongue,con lengua,com língua,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤗,1F917,1,smiling face with open hands,cara con manos abrazando,rosto abraçando,face|hands|hug|hugging|open|smiling,abrazo|cara|sonrisa,abraço|carinho|feliz|mãos abraçando|rosto|rosto sorrindo,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with hands,con las manos,com as mãos,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤭,1F92D,5,face with hand over mouth,cara con mano sobre la boca,rosto com a mão sobre a boca,face|giggle|giggling|hand|mouth|oops|realization|secret|shock|sudden|surprise|whoops,ostras|uy|vaya,hehe|ops|risadinha|risonho|sorriso envergonhado|vergonha,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with hands,con las manos,com as mãos,true,true,Widely supported in WhatsApp on modern iOS/Android.
🫢,1FAE2,14,face with open eyes and hand over mouth,cara con ojos abiertos y boca tapada,rosto com olhos abertos e mão sobre a boca,amazement|awe|disbelief|embarrass|eyes|face|gasp|hand|mouth|omg|open|over|quiet|scared|shock|surprise,alucinar|asombro|increíble|sorpresa|vergüenza,assustada|chocada|descrença|em choque|espanto|nossa|omg|passada|quieta|surpresa|temor,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with hands,con las manos,com as mãos,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🫣,1FAE3,14,face with peeking eye,cara tapada con ojo espiando,rosto com olho espiando,captivated|embarrass|eye|face|hide|hiding|peek|peeking|peep|scared|shy|stare,espiar|fascinado|mirar|vistazo,cativada|cativado|envergonhada|envergonhado|esconder|espiadinha|espiando|espiar|olhar fixamente|smiley|tímida|tímido|vergonha,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with hands,con las manos,com as mãos,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🤫,1F92B,5,shushing face,cara pidiendo silencio,rosto fazendo sinal de silêncio,face|quiet|shh|shush|shushing,callado|silencio,faça silêncio|fica quieta|quieta|quieto|silêncio,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with hands,con las manos,com as mãos,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤔,1F914,1,thinking face,cara pensativa,rosto pensativo,chin|consider|face|hmm|ponder|pondering|thinking|wondering,cara|duda|pensando,curiosa|curioso|dúvida|hmm|ideia|ideias|mão no queixo|pensando|pensativa|pensativo|rosto,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with hands,con las manos,com as mãos,true,true,Widely supported in WhatsApp on modern iOS/Android.
🫡,1FAE1,14,saluting face,cara saludando,rosto saudando,face|good|luck|ma’am|ok|respect|salute|saluting|sir|troops|yes,ejército|orden|saludo|sol|sí|vale,boa sorte|exército|ok|respeito|saudação|senhor|sim|tropa,smileys & emotion,emoticonos y emoción,sorrisos e emoção,with hands,con las manos,com as mãos,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🤐,1F910,1,zipper-mouth face,cara con la boca cerrada con cremallera,rosto com boca de zíper,face|keep|mouth|quiet|secret|shut|zip|zipper|zipper-mouth,boca|cara|cremallera,boca fechada|calada|calado|quieta|quieto|rosto|segredo|zíper,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤨,1F928,5,face with raised eyebrow,cara con ceja alzada,rosto com sobrancelha levantada,disapproval|disbelief|distrust|emoji|eyebrow|face|hmm|mild|raised|skeptic|skeptical|skepticism|surprise|what,desconfiado|escéptico,ceticismo|confusa|confuso|cética|cético|desconfiada|desconfiado|desconfiança,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
😐️,1F610,0.7,neutral face,cara neutral,rosto neutro,awkward|blank|deadpan|expressionless|face|fine|jealous|meh|neutral|oh|shade|straight|unamused|unhappy|unimpressed|whatever,cara|inexpresivo|neutral,neutro|putz|rosto|rosto sem emoção|sem comentários|sem emoção|sem reação,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
😑,1F611,1,expressionless face,cara sin expresión,rosto inexpressivo,awkward|dead|expressionless|face|fine|inexpressive|jealous|meh|not|oh|omg|straight|uh|unhappy|unimpressed|whatever,cara|inexpresiva|inexpresivo|inexpresión,aff|inespressiva|inespressivo|nada a dizer|rosto|sem comentários|sem expressão|tanto faz,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
😶,1F636,1,face without mouth,cara sin boca,rosto sem boca,awkward|blank|expressionless|face|mouth|mouthless|mute|quiet|secret|silence|silent|speechless,boca|callado|cara|silencio,calada|calado|quieto|rosto|sem boca|sem comentários|sem palavras,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
🫥,1FAE5,14,dotted line face,cara con línea de puntos,rosto com linha pontilhada,depressed|disappear|dotted|face|hidden|hide|introvert|invisible|line|meh|whatever|wtv,depresivo|deprimido|desaparecer|esconderse|introvertido|invisible,deprimida|desaparecer|esconder|escondido|indiferença|introvertido|invisível|meh|tanto faz,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
😶‍🌫️,1F636-200D-1F32B-FE0F,13.1,face in clouds,cara entre las nubes,rosto nas nuvens,absentminded|clouds|face|fog|head,ausente|cabeza en las nubes|cara en la niebla|en las nubes,cabeça nas nuvens|distraído|rosto no nevoeiro,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
😏,1F60F,0.6,smirking face,cara sonriendo con superioridad,rosto com sorriso maroto,boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smug|snicker|suave|suspicious|swag,cara|listillo|superioridad,flerte|rosto|sorriso maldoso|sorriso malicioso|sorriso maroto|suspeito,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
😒,1F612,0.6,unamused face,cara de desaprobación,rosto aborrecido,...|bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unhappy|weird|whatever,cara|insatisfacción|rechazo,aff|blasé|nada engraçado|não achou graça|não está feliz|rosto|rosto de que não achou graça|rosto de quem não achou graça,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
🙄,1F644,1,face with rolling eyes,cara con ojos en blanco,rosto com olhos revirados,eyeroll|eyes|face|rolling|shade|ugh|whatever,cara|frustración|ojos|vueltos,olhando para cima|olhos|revirando os olhos|rolando os olhos|rosto|tanto faz|virando os olhos,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
😬,1F62C,1,grimacing face,cara haciendo una mueca,rosto expressando desagrado,awk|awkward|dentist|face|grimace|grimacing|grinning|smile|smiling,cara|mueca,careta|fazendo careta|rosto|rosto fazendo careta|sem graça,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
😮‍💨,1F62E-200D-1F4A8,13.1,face exhaling,cara exhalando,rosto exalando,blow|blowing|exhale|exhaling|exhausted|face|gasp|groan|relief|sigh|smiley|smoke|whisper|whistle,alivio|bocanada|exhalar|jadear|resoplido|silbar,alívio|assobio|assopro|cansada|cansaço|choque|exalar|exausta|fumaça|suspiro|triste,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🤥,1F925,3,lying face,cara de mentiroso,rosto de mentiroso,face|liar|lie|lying|pinocchio,cara|mentiroso|nariz|pinocho,mentindo|mentira|mentiroso|nariz crescendo|pinocchio|pinóquio,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Widely supported in WhatsApp on modern iOS/Android.
🫨,1FAE8,15,shaking face,cara temblorosa,rosto tremendo,crazy|daze|earthquake|face|omg|panic|shaking|shock|surprise|vibrate|whoa|wow,shock|temblar|terremoto|vibrar,choque|louco|loucura|meu deus|pânico|rosto|surpresa|susto|terremoto|tremendo|vibrar|vibração,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🙂‍↔️,1F642-200D-2194-FE0F,15.1,head shaking horizontally,cabeza negando,cabeça virando de um lado para o outro,head|horizontally|no|shake|shaking,cabeza moviéndose horizontalmente|negar|no,balançar|cabeça balançando na horizontal|negar|não,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🙂‍↕️,1F642-200D-2195-FE0F,15.1,head shaking vertically,cabeza asintiendo,cabeça balançando na vertical,head|nod|shaking|vertically|yes,asentir|cabeza moviéndose verticalmente|sí,confirmação|sim,smileys & emotion,emoticonos y emoción,sorrisos e emoção,neutral / skeptical,neutral / escéptico,neutro / cético,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
😌,1F60C,0.6,relieved face,cara de alivio,rosto aliviado,calm|face|peace|relief|relieved|zen,aliviado|cara,alívio|em paz|rosto|zen,smileys & emotion,emoticonos y emoción,sorrisos e emoção,sleepy,somnoliento,sonolento,true,true,Widely supported in WhatsApp on modern iOS/Android.
😔,1F614,0.6,pensive face,cara desanimada,rosto deprimido,awful|bored|dejected|died|disappointed|face|losing|lost|pensive|sad|sucks,alicaído|cara|desanimado|pensativo,abatido|chateado|deprimido|desanimado|pensativo|pra baixo|rosto,smileys & emotion,emoticonos y emoción,sorrisos e emoção,sleepy,somnoliento,sonolento,true,true,Widely supported in WhatsApp on modern iOS/Android.
😪,1F62A,0.6,sleepy face,cara de sueño,rosto sonolento,crying|face|good|night|sad|sleep|sleeping|sleepy|tired,cara|dormir|sueño,cara de sono|rosto|rosto com sono,smileys & emotion,emoticonos y emoción,sorrisos e emoção,sleepy,somnoliento,sonolento,true,true,Widely supported in WhatsApp on modern iOS/Android.
🤤,1F924,3,drooling face,cara babeando,rosto babando,drooling|face,baba|babeando|cara,babando|babar|rosto|salivando,smileys & emotion,emoticonos y emoción,sorrisos e emoção,sleepy,somnoliento,sonolento,true,true,Widely supported in WhatsApp on modern iOS/Android.
😴,1F634,1,sleeping face,cara durmiendo,rosto dormindo,bed|bedtime|face|good|goodnight|nap|night|sleep|sleeping|tired|whatever|yawn|zzz,cara|dormido|sueño|zzz,boa noite|cama|cansada|cansado|cochilo|dormindo|dormir|rosto|soneca|sono|zzz,smileys & emotion,emoticonos y emoción,sorrisos e emoção,sleepy,somnoliento,sonolento,true,true,Widely supported in WhatsApp on modern iOS/Android.
🫩,1FAE9,16,face with bags under eyes,cara con ojeras,rosto com olheiras,bags|bored|exhausted|eyes|face|fatigued|late|sleepy|tired|weary,agotado|agotamiento|cansado|cansancio|cara|extenuación|extenuado|ojeras|ojos|sueño,cansada|cansado|cansaço|dorminhoco|exausta|exausto|olheiras|rosto com bolsas embaixo dos olhos,smileys & emotion,emoticonos y emoción,sorrisos e emoção,sleepy,somnoliento,sonolento,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
